__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2]
1778751617.380003,0.006459065,-0.001120150,-0.000175876,0.000015237,0.000015191,0.000583512,1.000000000,1.022182107,0.031359162,-2.516732454,0.011401649,0.011403950,0.027127028,0.999999821,-0.000605030,0.000283463,0.000061640,0.000000000,12.000000000,1778751617308731.000000000,1778751617304731.000000000,-0.035725735,-0.036424898,0.016257865,1.000000000,0.003780817,0.003785215,0.002897687
1778751617.392110,0.006276366,-0.000269873,-0.000672903,0.000015261,0.000015215,0.000583636,1.000000000,1.022059560,0.031108920,-2.516801119,0.011464483,0.011466847,0.027212584,0.999999821,-0.000579694,0.000281498,0.000059189,0.000000000,12.000000000,1778751617316731.000000000,1778751617312731.000000000,-0.035637531,-0.036448523,0.016207647,1.000000000,0.003807473,0.003811832,0.002905958
1778751617.399503,0.006670427,-0.001016449,-0.000034874,0.000015286,0.000015239,0.000583760,1.000000000,1.021934152,0.030856866,-2.516864300,0.011527901,0.011530328,0.027298519,0.999999821,-0.000552792,0.000276549,0.000059299,0.000000000,12.000000000,1778751617324731.000000000,1778751617320731.000000000,-0.035514917,-0.036503520,0.016157309,1.000000000,0.003834236,0.003838551,0.002914229
1778751617.412995,0.006590126,-0.000367808,-0.000104866,0.000015231,0.000015184,0.000583985,1.000000000,1.021708369,0.030352745,-2.516988516,0.011393421,0.011395715,0.027155517,0.999999821,-0.000497478,0.000270348,0.000058838,0.000000000,12.000000000,1778751617340731.000000000,1778751617336731.000000000,-0.035235878,-0.036639664,0.016119990,1.000000000,0.003776775,0.003780772,0.002898027
1778751617.419968,0.004949158,-0.000856427,-0.000593778,0.000015256,0.000015208,0.000584110,1.000000000,1.021607280,0.030100513,-2.517049551,0.011456177,0.011458530,0.027241148,0.999999821,-0.000477445,0.000265655,0.000056814,0.000000000,12.000000000,1778751617348731.000000000,1778751617344731.000000000,-0.035139196,-0.036645740,0.016157335,1.000000000,0.003803420,0.003807376,0.002906297
1778751617.432105,0.006296325,-0.001320066,0.000115910,0.000015280,0.000015232,0.000584234,1.000000000,1.021503210,0.029846709,-2.517111540,0.011519514,0.011521928,0.027266834,0.999999821,-0.000452030,0.000259112,0.000057633,0.000000000,12.000000000,1778751617356731.000000000,1778751617352731.000000000,-0.034948073,-0.036683179,0.016148543,1.000000000,0.003830171,0.003834092,0.002912225
1778751617.440382,0.006700952,-0.002480206,0.000594587,0.000015304,0.000015256,0.000584358,1.000000000,1.021396875,0.029591238,-2.517168283,0.011583439,0.011585914,0.027353030,0.999999821,-0.000425002,0.000247931,0.000060372,0.000000000,12.000000000,1778751617364731.000000000,1778751617360731.000000000,-0.034804750,-0.036711589,0.016123915,1.000000000,0.003857037,0.003860921,0.002920497
1778751617.451896,0.005761683,-0.002250726,0.000685723,0.000015250,0.000015201,0.000584585,1.000000000,1.021228075,0.029094160,-2.517294168,0.011448034,0.011450376,0.027209872,0.999999940,-0.000377966,0.000223672,0.000065803,0.000000000,12.000000000,1778751617380731.000000000,1778751617376731.000000000,-0.034520734,-0.036713168,0.016110763,1.000000000,0.003799493,0.003803093,0.002904348
1778751617.461519,0.006814807,-0.000497694,0.000391329,0.000015274,0.000015225,0.000584710,1.000000000,1.021138787,0.028843291,-2.517348528,0.011511294,0.011513694,0.027295768,0.999999940,-0.000350449,0.000220159,0.000067784,0.000000000,12.000000000,1778751617388731.000000000,1778751617384731.000000000,-0.034449659,-0.036711629,0.016106416,1.000000000,0.003826219,0.003829787,0.002912619
1778751617.473240,0.006359712,0.000515503,-0.000700030,0.000015299,0.000015249,0.000584834,1.000000000,1.021045923,0.028591044,-2.517397404,0.011575141,0.011577599,0.027382042,0.999999940,-0.000324759,0.000220705,0.000065401,0.000000000,12.000000000,1778751617396731.000000000,1778751617392731.000000000,-0.034315005,-0.036699031,0.016138889,1.000000000,0.003853071,0.003856610,0.002920892
